objectid,id,hash,matricula,cnm,cns,municipio_cod_ibge,lon,lat
207995,857494,85e75be81622a2f4d52fa3d3f2a69f3ffa8455307f5d72de4dd577222a837944,0018754,1591862001875472,159186,4115200,-51.95836529999997,-23.43485149999998
207996,857497,d361cbbf7aece87dbe3ab3e66f9982896aa320e8ac9729049b6068903d9ba1e3,0014069,1591862001406962,159186,4115200,-51.95797019999998,-23.422713599999952
207997,857501,4ba0e5e2c7d5c47b732b627ee35e17642cd99bc462c8db533abe0eef4234164d,0014109,1591862001410939,159186,4115200,-51.95797019999998,-23.422713599999952
207998,857502,76a7c62851ae1eb8f6bbf786a4d9c210f66912fb19e5d4e9a6a61285aa83f6d6,0004487,1591862000448796,159186,4115200,-51.924022599999944,-23.375658999999928
207999,857503,8685071ca4b923648fa882da3606b335e006eb9478095221f290006986251bd1,0016037,1591862001603775,159186,4115200,-51.926737499999945,-23.37827999999996
208000,857504,b2ba0c44fd6d8ce12ee7708ee0aaeba9fcf5ab1b26b7c8ac0f6b40681c76d67e,0014104,1591862001410454,159186,4115200,-51.95583149999993,-23.42215619999996
208001,857505,8c8d8402c1a10bc0120ab903e588cc0b0599a479ce6407de89ba25ba1e2e6e4e,0018509,1591862001850931,159186,4115200,-51.93161829999997,-23.37828479999996
208002,857508,aef1a0d40803e863104609ea697056464016a03c2e322d6790cf23025f8c3263,0018736,1591862001873629,159186,4115200,-51.929543699999954,-23.369615599999975
208004,857512,0fb84b263df7aa4ae5bf3ca6a96ab55573c029d2e14c34f71094961ccbecfb0b,0004794,1591862000479448,159186,4115200,-51.98839809999998,-23.399562899999978
208005,857513,d00e70d14ee42d4c7e7fef191cfa49db029683a31f74669059d581a280eb5e97,0014119,1591862001411909,159186,4115200,-51.95583149999993,-23.42215619999996
208006,857514,9437e1bf5799402e8d06d029701c3c91778f975f03e63dd1732f332e8e87d65b,0014070,1591862001407059,159186,4115200,-51.95797019999998,-23.422713599999952
208007,857515,2044714566d21196ef93616b2d785cb70ea2ed229f9cdfb1176a3410364543f5,0003529,1591862000352960,159186,4115200,-51.978704499999935,-23.444223499999964
208008,857517,19a17441280f0b3b6d1f0d3989d634df2d6ec4af7e56a0e9469bdb54f165c471,0010426,1591862001042630,159186,4115200,-51.965786599999944,-23.42467679999993
208009,857518,950dedbd38f8ed1ac45c088e1ca354bc249cf513469808a09facf02e93638776,0018517,1591862001851707,159186,4115200,-51.929543699999954,-23.369615599999975
208011,857520,7d16816b620333def142d4571178002ef18bdb097cf5f07e688d193cd83a898c,0014882,1591862001488248,159186,4115200,-51.978704499999935,-23.444223499999964
208012,857521,5c3e89b8158f373833a76cbc17efa780413a86878d91ec7c7e76b6893725aadf,0011238,1591862001123819,159186,4115200,-51.93384919999994,-23.375008399999956
208013,857522,f588a10e2d43e065fde799580cfc4503f6626aee2034acea28b611df60ddfa16,0014079,1591862001407932,159186,4115200,-51.95797019999998,-23.422713599999952
208014,857523,4e331a22632689fd5d5b5f312aabc2dee1d9d4165bb4efcb802e910c023acdc9,0013461,1591862001346143,159186,4115200,-51.965029899999934,-23.422897099999943
